CourseId,Score,sentiment,confusion,Cogn
0,1,0,1,0
0,5,0,1,0
0,5,1,1,0
0,5,1,1,1
0,3,1,1,2
0,5,2,1,1
0,5,1,2,2
0,5,2,1,0
0,3,0,1,1
0,4,1,1,2
0,2,0,1,1
0,4,0,1,0
0,3,2,1,1
0,5,2,0,2
0,4,2,1,0
1,5,2,1,0
1,5,0,1,1
2,5,1,2,2
2,5,0,1,1
2,5,2,1,0
3,5,1,1,1
3,5,2,1,0
3,4,2,1,1
4,5,1,1,0
5,5,1,1,1
5,5,0,1,1
5,5,2,1,0
5,5,2,1,1
5,4,1,1,0
5,5,1,1,2
5,5,1,2,2
5,3,1,0,2
5,1,1,1,2
5,4,2,1,0
5,3,0,1,1
5,4,1,1,2
5,5,0,2,1
5,5,1,1,0
5,5,1,0,2
5,3,1,1,0
5,3,1,1,1
5,3,2,1,0
5,2,1,1,2
5,4,1,1,1
5,1,0,1,1
6,5,0,0,2
6,5,2,1,0
6,5,1,0,2
6,5,1,1,2
6,5,1,1,1
6,5,1,1,0
6,4,2,1,0
6,4,1,1,0
6,5,2,1,1
6,5,0,1,1
6,5,1,2,1
6,1,1,1,2
6,3,0,1,1
6,5,0,1,0
6,4,1,1,1
6,5,1,2,2
6,5,2,1,2
6,5,0,0,0
6,3,2,1,0
6,2,1,1,2
6,1,0,1,1
6,3,1,1,1
6,5,2,2,1
7,4,1,1,1
7,5,2,1,1
7,4,1,1,0
7,5,2,1,0
7,3,0,0,2
7,5,1,0,1
7,5,1,1,1
7,3,1,0,2
7,4,1,0,2
7,5,1,1,0
7,2,1,1,0
8,5,0,0,0
8,5,0,1,0
8,4,0,1,0
8,5,2,1,0
8,2,0,1,2
8,3,0,1,0
8,5,1,1,0
8,5,2,1,1
8,4,0,0,2
9,5,2,1,0
9,5,2,1,1
9,5,1,0,2
9,3,2,1,0
9,5,1,1,1
9,4,1,1,0
9,5,1,1,0
9,4,1,1,1
9,5,0,2,2
9,5,1,2,2
9,1,0,1,1
9,5,1,1,2
9,4,2,1,0
9,5,0,1,1
9,1,1,1,1
9,4,1,0,2
9,4,1,1,2
9,5,0,1,0
10,5,2,1,1
10,5,0,1,0
10,3,0,1,1
10,5,2,1,0
10,5,1,1,1
10,4,1,1,1
10,4,1,1,0
10,5,0,1,1
10,4,1,2,1
10,5,1,1,0
10,4,2,1,1
10,4,0,1,0
10,5,2,2,1
10,4,1,0,2
10,1,0,1,0
10,5,1,2,2
10,5,1,2,1
10,4,1,1,2
10,5,1,1,2
10,4,2,1,2
10,4,1,0,1
10,4,2,1,0
10,1,1,1,1
10,5,0,1,2
10,5,2,1,2
10,3,1,1,1
10,5,1,0,2
10,4,0,2,2
10,4,0,1,2
10,4,2,0,2
10,3,1,2,2
10,5,2,0,0
10,5,2,2,2
11,5,1,1,0
11,4,1,2,2
11,5,2,1,1
11,5,1,1,1
12,5,2,1,1
12,5,0,1,0
12,5,2,1,0
13,3,0,1,0
13,5,2,1,1
13,5,2,1,0
13,5,1,1,1
13,5,1,1,0
14,5,1,1,0
14,5,0,1,0
14,4,0,1,0
14,5,2,1,2
14,2,0,1,2
14,5,2,1,0
14,5,1,1,1
14,5,1,0,1
15,5,1,1,1
15,5,1,0,2
15,5,2,1,1
15,4,1,1,1
15,1,1,1,1
15,5,0,0,2
15,4,0,1,1
15,5,1,1,0
15,5,0,1,0
15,4,1,1,0
15,5,2,1,0
15,4,1,2,2
15,5,0,1,1
15,4,1,0,2
16,5,2,1,2
16,4,1,0,2
16,5,1,0,2
16,5,1,1,0
16,5,1,1,1
16,4,2,1,0
16,4,0,1,2
16,1,0,1,2
16,5,0,1,0
16,3,1,1,2
16,4,1,1,1
16,5,2,1,0
16,2,1,1,1
16,3,1,2,2
16,4,1,2,1
16,2,0,1,1
16,2,0,1,0
16,5,0,0,2
16,4,1,1,0
16,3,0,0,2
16,5,0,1,1
16,5,0,1,2
16,1,0,1,1
16,5,1,2,2
16,5,1,1,2
16,5,2,1,1
16,3,0,1,0
16,4,1,1,2
16,4,2,1,1
16,4,1,2,2
16,3,0,1,2
16,3,1,0,2
16,4,0,0,2
16,5,0,0,0
16,4,2,2,0
16,4,0,0,1
16,1,0,1,0
16,4,1,0,1
16,4,0,1,1
16,2,0,2,2
16,4,0,1,0
16,5,2,0,2
16,5,1,2,1
17,4,1,1,1
17,5,2,1,0
18,4,2,1,1
18,4,1,1,0
18,5,1,1,0
18,5,1,1,1
18,5,2,1,0
18,5,1,1,2
18,2,0,1,2
18,5,2,1,1
18,5,1,2,2
18,4,0,1,0
18,4,2,1,0
18,2,0,1,0
18,3,0,1,0
19,5,1,1,0
19,4,1,1,2
20,5,2,1,0
21,5,1,1,2
21,5,1,1,1
21,5,2,1,0
21,5,0,1,2
21,5,2,1,1
21,5,0,0,2
21,2,0,1,2
21,3,0,1,1
21,4,1,0,2
21,4,2,1,1
21,4,1,1,2
21,4,1,1,1
21,5,0,1,0
21,4,0,1,1
21,5,0,1,1
21,4,1,1,0
21,1,0,1,0
21,5,1,1,0
21,5,1,2,2
21,5,0,2,1
21,3,1,1,1
21,3,1,0,2
21,1,0,1,1
21,3,1,1,2
21,4,0,1,0
21,5,0,0,0
21,1,0,0,2
21,5,1,0,2
21,1,0,2,2
21,2,1,0,2
21,5,2,1,2
21,5,0,2,2
21,2,0,1,1
21,4,2,1,0
21,3,1,1,0
21,1,1,1,0
21,4,0,2,2
21,4,2,0,1
21,4,0,0,1
21,4,0,1,2
21,1,2,1,0
21,4,1,2,2
21,5,2,0,2
22,5,1,0,2
22,5,2,1,1
22,5,2,1,0
22,4,1,1,0
22,5,0,1,1
22,5,1,1,2
22,5,1,1,1
22,4,1,0,2
22,5,1,1,0
22,3,0,1,2
22,4,0,1,1
22,4,2,1,1
22,4,1,1,2
22,4,0,1,0
22,5,2,2,2
22,3,0,2,2
22,4,1,1,1
22,1,0,1,0
23,5,1,1,2
23,5,1,1,0
23,5,2,1,0
23,5,1,1,1
23,5,0,1,0
23,4,1,1,0
23,4,0,1,1
23,5,2,1,1
23,4,0,1,0
23,2,2,1,0
23,5,0,1,1
23,3,2,1,0
23,4,2,1,1
24,5,1,1,1
24,3,0,1,0
24,5,0,1,0
25,5,0,1,0
25,4,0,1,0
25,3,1,1,1
25,5,2,1,0
26,5,0,1,0
27,5,1,1,2
27,1,0,1,2
27,5,2,1,0
27,5,0,0,0
27,1,0,0,2
27,3,1,0,2
27,5,2,1,1
27,2,0,1,2
27,4,1,1,2
27,5,0,0,2
27,5,1,1,1
27,5,1,2,1
28,5,1,1,2
28,5,1,1,0
28,4,1,1,2
28,5,2,1,0
28,2,1,1,2
28,1,0,1,2
28,5,1,1,1
28,5,2,1,1
28,5,1,2,2
28,5,0,1,0
28,4,0,0,2
28,4,1,0,2
28,4,1,0,1
28,5,1,2,1
28,4,2,1,0
28,4,1,2,2
28,5,0,1,2
28,4,0,1,1
28,5,0,1,1
28,4,1,1,1
28,5,0,2,2
28,5,1,0,2
28,5,0,0,0
28,4,0,1,2
28,2,1,0,2
28,5,0,0,2
28,5,2,1,2
28,4,2,1,2
28,4,1,1,0
28,3,1,2,2
28,3,0,2,1
28,3,1,1,0
28,5,1,0,1
28,4,2,1,1
29,5,0,0,0
29,5,1,1,0
29,4,1,1,0
29,5,1,1,1
29,5,0,1,0
29,4,0,1,1
29,4,2,1,1
29,3,1,0,2
29,2,0,1,1
29,4,2,1,0
29,4,1,0,2
29,5,2,1,0
29,5,2,1,2
29,4,1,1,1
29,5,1,0,2
29,5,2,1,1
29,1,0,1,0
29,4,0,1,0
29,4,0,1,2
29,3,0,1,2
30,5,1,1,1
30,5,2,1,0
30,4,1,1,1
30,5,2,1,1
30,4,1,1,2
30,5,0,1,0
30,3,1,0,2
30,5,0,1,1
30,5,1,0,2
30,4,1,2,2
30,5,1,2,1
30,3,1,1,2
30,5,1,1,0
30,5,0,0,2
30,3,1,2,2
30,4,1,0,2
30,3,1,1,1
30,4,1,1,0
30,2,0,1,2
30,4,0,2,2
30,5,0,0,0
30,5,1,1,2
30,4,2,1,1
30,4,0,0,2
31,5,1,1,1
31,4,0,1,1
31,5,1,1,0
31,5,2,1,0
31,4,1,1,1
32,4,1,1,0
32,5,1,1,1
32,5,2,1,1
32,5,2,1,0
32,5,1,2,2
32,5,0,1,2
32,5,1,1,0
32,4,1,1,1
32,5,0,1,1
32,3,2,1,0
32,5,1,1,2
32,5,0,1,0
32,4,1,1,2
32,3,1,1,1
32,4,2,1,0
32,4,2,1,1
